0	5
0	8
0	11
0	21
0	25
0	27
0	28
0	31
0	36
0	37
0	40
0	43
0	44
0	45
0	50
0	51
0	52
0	53
0	54
0	56
0	57
0	58
0	60
0	66
0	67
0	68
0	70
0	77
0	79
0	88
0	93
0	94
0	95
0	97
0	98
1	4
1	5
1	9
1	10
1	11
1	12
1	15
1	16
1	23
1	25
1	28
1	30
1	36
1	40
1	44
1	46
1	47
1	49
1	50
1	55
1	56
1	61
1	65
1	67
1	72
1	73
1	84
1	85
1	87
1	88
1	89
1	90
1	91
1	93
1	94
2	4
2	9
2	10
2	12
2	13
2	14
2	15
2	18
2	19
2	22
2	33
2	34
2	36
2	40
2	49
2	50
2	51
2	59
2	63
2	66
2	68
2	70
2	73
2	76
2	77
2	82
2	83
2	84
2	85
2	86
2	87
2	89
2	92
2	98
3	5
3	6
3	7
3	10
3	13
3	17
3	20
3	23
3	25
3	26
3	28
3	34
3	35
3	36
3	38
3	39
3	43
3	44
3	45
3	48
3	49
3	54
3	57
3	59
3	61
3	62
3	64
3	65
3	66
3	71
3	72
3	76
3	82
3	85
3	86
3	87
3	90
3	91
3	95
3	96
4	6
4	9
4	10
4	12
4	15
4	23
4	24
4	28
4	42
4	46
4	47
4	48
4	49
4	50
4	53
4	54
4	55
4	59
4	60
4	63
4	66
4	67
4	68
4	69
4	70
4	71
4	72
4	74
4	86
4	88
4	96
4	98
5	6
5	7
5	9
5	10
5	12
5	15
5	16
5	17
5	18
5	19
5	23
5	29
5	32
5	36
5	40
5	43
5	46
5	47
5	53
5	57
5	59
5	66
5	67
5	68
5	69
5	72
5	73
5	74
5	76
5	79
5	80
5	86
5	90
5	93
5	96
5	98
5	99
6	11
6	13
6	16
6	17
6	18
6	20
6	21
6	24
6	25
6	27
6	29
6	31
6	32
6	41
6	45
6	46
6	47
6	50
6	65
6	66
6	67
6	69
6	70
6	71
6	72
6	75
6	77
6	78
6	82
6	83
6	84
6	85
6	87
6	89
6	90
6	91
6	95
6	96
6	99
7	8
7	10
7	12
7	14
7	15
7	18
7	20
7	25
7	26
7	27
7	30
7	33
7	34
7	39
7	40
7	43
7	47
7	51
7	54
7	57
7	59
7	60
7	63
7	64
7	69
7	71
7	83
7	84
7	85
7	86
7	89
7	92
7	96
7	97
8	11
8	13
8	16
8	17
