,Name,Vertex,Edges,Density,Max. Degree,Avg. Degree,Max. k-core,Avg. Clustering Coeff.,Diameter,Average Path Length,Total Triangles,Avg. Eigenvector Centrality
0,ER,20,43,0.22631578947368422,7,4.3,3,0.13642857142857143,4,2.068421052631579,7.0,0.21413278971554503
1,ER,20,47,0.24736842105263157,8,4.7,3,0.2953571428571428,4,1.9842105263157894,17.0,0.20705677895406555
2,ER,20,70,0.3684210526315789,12,7.0,5,0.39749999999999996,3,1.6894736842105262,59.0,0.2125832842606649
3,ER,20,99,0.5210526315789473,15,9.9,7,0.513947163947164,2,1.4789473684210526,158.0,0.21855334558587805
4,ER,20,111,0.5842105263157895,15,11.1,9,0.5933161283161282,2,1.4157894736842105,232.0,0.2187959939829835
5,ER,20,145,0.7631578947368421,17,14.5,13,0.7572680995475115,2,1.236842105263158,496.0,0.22291781342136852
6,ER,20,154,0.8105263157894737,18,15.4,12,0.8172039969834088,2,1.1894736842105262,609.0,0.2225595683392206
7,ER,20,170,0.8947368421052632,19,17.0,15,0.8925238340950414,2,1.105263157894737,813.0,0.22312477427723065
8,ER,30,74,0.17011494252873563,8,4.933333333333334,3,0.118015873015873,4,2.1770114942528735,15.0,0.16964990321202775
9,ER,30,127,0.29195402298850576,14,8.466666666666667,6,0.2965136715136715,3,1.7862068965517242,108.0,0.17261494624300983
10,ER,30,178,0.4091954022988506,18,11.866666666666667,8,0.4048251857075387,2,1.5908045977011493,283.0,0.17704314189827491
11,ER,30,215,0.4942528735632184,19,14.333333333333334,11,0.49185303373383865,2,1.5057471264367817,480.0,0.18006183400381037
12,ER,30,252,0.5793103448275863,21,16.8,13,0.5742698770098151,2,1.4206896551724137,779.0,0.18077206261357126
13,ER,30,314,0.7218390804597701,25,20.933333333333334,17,0.7272512097689782,2,1.27816091954023,1534.0,0.18147464628272186
14,ER,30,349,0.8022988505747126,27,23.266666666666666,20,0.796038909052639,2,1.1977011494252874,2074.0,0.1820907364443987
15,ER,30,391,0.8988505747126436,29,26.066666666666666,23,0.8989739459089784,2,1.1011494252873564,2948.0,0.1822581356401729
16,ER,40,84,0.1076923076923077,12,4.2,3,0.1451352813852814,6,2.707692307692308,16.0,0.12855870678218212
17,ER,40,147,0.18846153846153846,14,7.35,5,0.21589923964923957,4,2.0256410256410255,74.0,0.14795938347651244
18,ER,40,235,0.30128205128205127,16,11.75,9,0.2669418775668775,3,1.7243589743589745,236.0,0.15403282067305302
19,ER,40,309,0.39615384615384613,21,15.45,12,0.40330578692033797,3,1.6064102564102565,626.0,0.15509261546108374
20,ER,40,387,0.49615384615384617,26,19.35,16,0.5096392755570809,2,1.5038461538461538,1243.0,0.1557048074346204
21,ER,40,457,0.5858974358974359,28,22.85,19,0.5796735212939448,2,1.4141025641025642,1954.0,0.15721870358935414
22,ER,40,567,0.7269230769230769,34,28.35,23,0.727977966776364,2,1.273076923076923,3807.0,0.15730680563741584
23,ER,40,622,0.7974358974358975,35,31.1,26,0.7963717059346476,2,1.2025641025641025,4996.0,0.15771487106582263
24,ER,40,710,0.9102564102564102,39,35.5,31,0.9117844694011303,2,1.0897435897435896,7465.0,0.15789202657161638
25,ER,50,127,0.1036734693877551,11,5.08,3,0.08634343434343433,4,2.507755102040816,22.0,0.12610662794452782
26,ER,50,250,0.20408163265306123,18,10.0,7,0.2021463307933896,3,1.893061224489796,163.0,0.13551820908301124
27,ER,50,347,0.283265306122449,21,13.88,11,0.2819325294588454,3,1.7257142857142858,429.0,0.13862278532041783
28,ER,50,490,0.4,27,19.6,15,0.3997163000990973,3,1.6008163265306123,1258.0,0.13896983053917514
29,ER,50,602,0.49142857142857144,33,24.08,18,0.49224612184070643,2,1.5085714285714287,2320.0,0.14013876746979206
30,ER,50,741,0.6048979591836735,36,29.64,23,0.6050612630013475,2,1.3951020408163266,4314.0,0.1407106543598835
31,ER,50,875,0.7142857142857143,44,35.0,28,0.7207298859275295,2,1.2857142857142858,7221.0,0.14067505631407784
