,Name,Vertex,Edges,Density,Max. Degree,Avg. Degree,Max. k-core,Avg. Clustering Coeff.,Diameter,Average Path Length,Total Triangles,Avg. Eigenvector Centrality
0,PA,10,9,0.2,4,1.8,1,0.0,4,2.488888888888889,0.0,0.28279144010095975
1,PA,10,24,0.5333333333333333,9,4.8,4,0.6211904761904762,2,1.4666666666666666,22.0,0.29875848323779886
2,PA,20,19,0.1,6,1.9,1,0.0,8,3.5526315789473686,0.0,0.17491298503383534
3,PA,20,84,0.4421052631578947,15,8.4,6,0.48713564213564214,2,1.5578947368421052,106.0,0.21507221475687532
4,PA,20,99,0.5210526315789473,18,9.9,8,0.8125945541386719,3,1.4842105263157894,245.0,0.20896175776379194
5,PA,20,64,0.3368421052631579,19,6.4,4,0.858533711730306,2,1.6631578947368422,82.0,0.2028386941704337
6,PA,30,29,0.06666666666666667,9,1.9333333333333333,1,0.0,10,4.225287356321839,0.0,0.1238316847473951
7,PA,30,144,0.3310344827586207,19,9.6,6,0.4109925995916709,3,1.7126436781609196,190.0,0.1716561940283928
8,PA,30,209,0.4804597701149425,27,13.933333333333334,10,0.6065348825481413,2,1.5195402298850575,573.0,0.17423369067916036
9,PA,30,224,0.5149425287356322,28,14.933333333333334,12,0.7634939618478006,2,1.4850574712643678,817.0,0.17145813063155158
10,PA,30,189,0.43448275862068964,29,12.6,9,0.8246084223400565,2,1.5655172413793104,577.0,0.16838093423335762
11,PA,30,104,0.23908045977011494,29,6.933333333333334,4,0.8932644052414168,2,1.760919540229885,143.0,0.1602723381823838
12,PA,40,39,0.05,11,1.95,1,0.0,9,4.041025641025641,0.0,0.10612786065710744
13,PA,40,204,0.26153846153846155,24,10.2,6,0.3655508614529008,3,1.8,257.0,0.14526242806099993
14,PA,40,319,0.40897435897435896,31,15.95,11,0.49135782304179354,3,1.5935897435897435,842.0,0.1504820863178375
15,PA,40,384,0.49230769230769234,35,19.2,15,0.6147898844725231,3,1.5128205128205128,1502.0,0.15102061814252393
16,PA,40,399,0.5115384615384615,37,19.95,14,0.7346792762697117,2,1.4884615384615385,1876.0,0.14980290733048868
17,PA,40,364,0.4666666666666667,39,18.2,14,0.8314047367265938,2,1.5333333333333334,1690.0,0.14702489672193128
18,PA,40,279,0.3576923076923077,39,13.95,9,0.8579202048449215,2,1.6423076923076922,938.0,0.14315705867827405
